"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","ID","talker","gender","order","duration","speech_rate","transcript","Order","clip1_id","clip2_id","selected_clip","clip1_speaker","clip2_speaker","clip1_gender","clip2_gender","clip1_transcript","clip2_transcript","accuracy","question_order"
"","","","","","html-keyboard-response","222","667031","0.0-222.0","","","","","","","","","","","","315","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","8","F5_03","F4_04","","F5","F4","female","female","It was a totally new experience to me.","It was hard for my mom.","",""
"","","","","","audio-keyboard-response","223","669905","0.0-223.0","","","","","","","","","","","","null","../audio/F2_03.WAV","null","F2_03","F2","female","1","1.372927","5.098","And they charge lots and lots of money.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","224","674623","0.0-224.0","","","","","","","","","","","","null","../audio/F2_04.WAV","l","F2_04","F2","female","2","4.716052","2.332","And then upstairs in her apartment, she would make rice wine.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","225","676626","0.0-225.0","","","","","","","","","","","","1340","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","9","F2_03","F2_04","","F2","F2","female","female","And they charge lots and lots of money.","And then upstairs in her apartment, she would make rice wine.","",""
"","","","","","audio-keyboard-response","226","680667","0.0-226.0","","","","","","","","","","","","null","../audio/M4_04.WAV","null","M4_04","M4","male","1","2.538281","2.364","The most intimate group of friends.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","227","682319","0.0-227.0","","","","","","","","","","","","null","../audio/F3_04.WAV","s","F3_04","F3","female","2","1.651802","4.843","There were a lot of children in the area.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","228","684321","0.0-228.0","","","","","","","","","","","","327","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","s","","","","","","","","10","M4_04","F3_04","","M4","F3","male","female","The most intimate group of friends.","There were a lot of children in the area.","",""
"","","","","","audio-keyboard-response","229","688740","0.0-229.0","","","","","","","","","","","","null","../audio/F4_02.WAV","null","F4_02","F4","female","1","2.916635","2.058","Yeah, a little bit, like elementary school.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","230","691305","0.0-230.0","","","","","","","","","","","","null","../audio/M3_04.WAV","l","M3_04","M3","male","2","2.564635","3.508","They have to learn about what they're talking about.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","231","693306","0.0-231.0","","","","","","","","","","","","549","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","11","F4_02","M3_04","","F4","M3","female","male","Yeah, a little bit, like elementary school.","They have to learn about what they're talking about.","",""
"","","","","","audio-keyboard-response","232","696595","0.0-232.0","","","","","","","","","","","","null","../audio/M4_02.WAV","null","M4_02","M4","male","1","1.785187","3.361","I'm still struggling to be honest.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","233","700266","0.0-233.0","","","","","","","","","","","","null","../audio/F4_03.WAV","l","F4_03","F4","female","2","3.670938","3.269","Yeah, it was an apartment building. It was like a one-bedroom","","","","","","","","","","","",""
"","","","","","html-keyboard-response","234","702268","0.0-234.0","","","","","","","","","","","","391","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","12","M4_02","F4_03","","M4","F4","male","female","I'm still struggling to be honest.","Yeah, it was an apartment building. It was like a one-bedroom","",""
"","","","","","audio-keyboard-response","235","704810","0.0-235.0","","","","","","","","","","","","null","../audio/M2_02.WAV","null","M2_02","M2","male","1","1.039885","3.846","So that was great.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","236","705740","0.0-236.0","","","","","","","","","","","","null","../audio/M2_03.WAV","null","M2_03","M2","male","2","0.928833","5.382","I just wanted to get up.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","237","707742","0.0-237.0","","","","","","","","","","","","null","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","null","","","","","","","","13","M2_02","M2_03","","M2","M2","male","male","So that was great.","I just wanted to get up.","",""
"","","","","","audio-keyboard-response","238","713512","0.0-238.0","","","","","","","","","","","","null","../audio/F3_01.WAV","null","F3_01","F3","female","1","4.267563","1.875","My parents, my two sisters, and my two brothers.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","239","716515","0.0-239.0","","","","","","","","","","","","null","../audio/M2_01.WAV","l","M2_01","M2","male","2","3.0","2.667","The airport is basically a one-story building.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","240","718517","0.0-240.0","","","","","","","","","","","","441","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","14","F3_01","M2_01","","F3","M2","female","male","My parents, my two sisters, and my two brothers.","The airport is basically a one-story building.","",""
"","","","","","audio-keyboard-response","241","721137","0.0-241.0","","","","","","","","","","","","null","../audio/M5_03.WAV","null","M5_03","M5","male","1","1.118844","3.576","I said, what is this?","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","242","723318","0.0-242.0","","","","","","","","","","","","null","../audio/M2_04.WAV","s","M2_04","M2","male","2","2.180729","2.751","People just focus on making money.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","243","725321","0.0-243.0","","","","","","","","","","","","790","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","s","","","","","","","","15","M5_03","M2_04","","M5","M2","male","male","I said, what is this?","People just focus on making money.","",""
"","","","","","audio-keyboard-response","244","728562","0.0-244.0","","","","","","","","","","","","null","../audio/F3_03.WAV","null","F3_03","F3","female","1","1.738271","2.877","At least one family had moved.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","245","729783","0.0-245.0","","","","","","","","","","","","null","../audio/M1_03.WAV","l","M1_03","M1","male","2","1.220375","5.087881591","Being in medical field.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","246","731785","0.0-246.0","","","","","","","","","","","","691","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","16","F3_03","M1_03","","F3","M1","female","male","At least one family had moved.","Being in medical field.","",""
"","","","","","audio-keyboard-response","247","735966","0.0-247.0","","","","","","","","","","","","null","../audio/M5_04.WAV","null","M5_04","M5","male","1","2.679688","2.612","We have a very enjoyable life, nothing.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","248","738424","0.0-248.0","","","","","","","","","","","","null","../audio/F1_02.WAV","l","F1_02","F1","female","2","2.456333","2.442","I end up going to high school.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","249","740426","0.0-249.0","","","","","","","","","","","","686","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","17","M5_04","F1_02","","M5","F1","male","female","We have a very enjoyable life, nothing.","I end up going to high school.","",""
"","","","","","audio-keyboard-response","250","743964","0.0-250.0","","","","","","","","","","","","null","../audio/F1_03.WAV","null","F1_03","F1","female","1","2.034542","3.440","No, actually I was the only one.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","251","745109","0.0-251.0","","","","","","","","","","","","null","../audio/F5_01.WAV","l","F5_01","F5","female","2","1.144573","3.495","He worked very hard.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","252","747111","0.0-252.0","","","","","","","","","","","","1142","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","18","F1_03","F5_01","","F1","F5","female","female","No, actually I was the only one.","He worked very hard.","",""
"","","","","","audio-keyboard-response","253","750621","0.0-253.0","","","","","","","","","","","","null","../audio/F5_02.WAV","null","F5_02","F5","female","1","2.006958","2.491","We sort of like stay together.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","254","752458","0.0-254.0","","","","","","","","","","","","null","../audio/F4_01.WAV","l","F4_01","F4","female","2","1.835479","2.724","Probably right before I turn six.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","255","754459","0.0-255.0","","","","","","","","","","","","874","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","19","F5_02","F4_01","","F5","F4","female","female","We sort of like stay together.","Probably right before I turn six.","",""
"","","","","","audio-keyboard-response","256","757671","0.0-256.0","","","","","","","","","","","","null","../audio/M3_02.WAV","null","M3_02","M3","male","1","1.70975","2.924","And then on Sunday morning","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","257","759674","0.0-257.0","","","","","","","","","","","","null","../audio/M5_01.WAV","l","M5_01","M5","male","2","2.002865","2.994","All of us were very young, so...","","","","","","","","","","","",""
"","","","","","html-keyboard-response","258","761675","0.0-258.0","","","","","","","","","","","","565","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","20","M3_02","M5_01","","M3","M5","male","male","And then on Sunday morning","All of us were very young, so...","",""
"","","","","","audio-keyboard-response","259","764399","0.0-259.0","","","","","","","","","","","","null","../audio/M1_03.WAV","null","M1_03","M1","male","1","1.220375","5.087881591","Being in medical field.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","260","766053","0.0-260.0","","","","","","","","","","","","null","../audio/F3_04.WAV","l","F3_04","F3","female","2","1.651802","4.843","There were a lot of children in the area.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","261","768055","0.0-261.0","","","","","","","","","","","","1061","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","1","M1_03","F3_04","","M1","F3","male","female","Being in medical field.","There were a lot of children in the area.","",""
"","","","","","audio-keyboard-response","262","771342","0.0-262.0","","","","","","","","","","","","null","../audio/M4_02.WAV","null","M4_02","M4","male","1","1.785187","3.361","I'm still struggling to be honest.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","263","772904","0.0-263.0","","","","","","","","","","","","null","../audio/M5_02.WAV","l","M5_02","M5","male","2","1.560854","3.204","In December, it was cold.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","264","774906","0.0-264.0","","","","","","","","","","","","507","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","2","M4_02","M5_02","","M4","M5","male","male","I'm still struggling to be honest.","In December, it was cold.","",""
"","","","","","audio-keyboard-response","265","777918","0.0-265.0","","","","","","","","","","","","null","../audio/M1_02.WAV","null","M1_02","M1","male","1","1.508312","4.539559014","It's a really nice place to live.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","266","780919","0.0-266.0","","","","","","","","","","","","null","../audio/M2_01.WAV","l","M2_01","M2","male","2","3.0","2.667","The airport is basically a one-story building.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","267","782921","0.0-267.0","","","","","","","","","","","","516","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","3","M1_02","M2_01","","M1","M2","male","male","It's a really nice place to live.","The airport is basically a one-story building.","",""
"","","","","","audio-keyboard-response","268","788094","0.0-268.0","","","","","","","","","","","","null","../audio/F4_03.WAV","null","F4_03","F4","female","1","3.670938","3.269","Yeah, it was an apartment building. It was like a one-bedroom","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","269","789834","0.0-269.0","","","","","","","","","","","","null","../audio/F3_03.WAV","s","F3_03","F3","female","2","1.738271","2.877","At least one family had moved.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","270","791836","0.0-270.0","","","","","","","","","","","","188","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","s","","","","","","","","4","F4_03","F3_03","","F4","F3","female","female","Yeah, it was an apartment building. It was like a one-bedroom","At least one family had moved.","",""
"","","","","","audio-keyboard-response","271","795451","0.0-271.0","","","","","","","","","","","","null","../audio/M4_01.WAV","null","M4_01","M4","male","1","2.112052","2.841","The main source is from class.","","","","","","","","","","","",""
