"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","ID","talker","gender","order","duration","speech_rate","transcript","Order","clip1_id","clip2_id","selected_clip","clip1_speaker","clip2_speaker","clip1_gender","clip2_gender","clip1_transcript","clip2_transcript","accuracy","question_order"
"","","","","","audio-keyboard-response","302","1131253","0.0-302.0","","","","","","","","","","","","null","../audio/F2_02.WAV","s","F2_02","F2","female","2","2.902938","4.134","They buy a whole pig and then they eat their way through it.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","303","1133272","0.0-303.0","","","","","","","","","","","","1136","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","s","","","","","","","","15","F4_04","F2_02","","F4","F2","female","female","It was hard for my mom.","They buy a whole pig and then they eat their way through it.","",""
"","","","","","audio-keyboard-response","304","1136313","0.0-304.0","","","","","","","","","","","","null","../audio/M1_02.WAV","null","M1_02","M1","male","1","1.508312","4.539559014","It's a really nice place to live.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","305","1138503","0.0-305.0","","","","","","","","","","","","null","../audio/M2_04.WAV","l","M2_04","M2","male","2","2.180729","2.751","People just focus on making money.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","306","1140512","0.0-306.0","","","","","","","","","","","","716","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","16","M1_02","M2_04","","M1","M2","male","male","It's a really nice place to live.","People just focus on making money.","",""
"","","","","","audio-keyboard-response","307","1143592","0.0-307.0","","","","","","","","","","","","null","../audio/M5_02.WAV","null","M5_02","M5","male","1","1.560854","3.204","In December, it was cold.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","308","1145303","0.0-308.0","","","","","","","","","","","","null","../audio/M3_02.WAV","l","M3_02","M3","male","2","1.70975","2.924","And then on Sunday morning","","","","","","","","","","","",""
"","","","","","html-keyboard-response","309","1147307","0.0-309.0","","","","","","","","","","","","1140","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","17","M5_02","M3_02","","M5","M3","male","male","In December, it was cold.","And then on Sunday morning","",""
"","","","","","audio-keyboard-response","310","1149973","0.0-310.0","","","","","","","","","","","","null","../audio/F5_01.WAV","null","F5_01","F5","female","1","1.144573","3.495","He worked very hard.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","311","1151463","0.0-311.0","","","","","","","","","","","","null","../audio/M1_01.WAV","l","M1_01","M1","male","2","1.480896","5.043558001","You kind of get spoiled.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","312","1153466","0.0-312.0","","","","","","","","","","","","1990","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","18","F5_01","M1_01","","F5","M1","female","male","He worked very hard.","You kind of get spoiled.","",""
"","","","","","audio-keyboard-response","313","1159252","0.0-313.0","","","","","","","","","","","","null","../audio/F3_01.WAV","null","F3_01","F3","female","1","4.267563","1.875","My parents, my two sisters, and my two brothers.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","314","1160743","0.0-314.0","","","","","","","","","","","","null","../audio/M3_03.WAV","s","M3_03","M3","male","2","1.483458","3.371","Not too far away from here.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","315","1162752","0.0-315.0","","","","","","","","","","","","1543","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","s","","","","","","","","19","F3_01","M3_03","","F3","M3","female","male","My parents, my two sisters, and my two brothers.","Not too far away from here.","",""
"","","","","","audio-keyboard-response","316","1166402","0.0-316.0","","","","","","","","","","","","null","../audio/M4_03.WAV","null","M4_03","M4","male","1","2.137188","1.872","They didn't really respond.","","","","","","","","","","","",""
